iterations,Size_37(MVA),Size_38(MVA),Size_39(MVA),Size_40(MVA),SCR_30,SCR_36,SCR_32,SCR_34,Total Size(MVA),NPV(in millions)
191,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
192,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
193,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
194,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
195,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
196,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
197,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
198,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
199,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
200,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
201,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
202,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
203,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
204,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
205,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
206,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
207,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
208,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
209,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
210,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
211,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
